"Id","ProviderName","TimeCreated","TaskDisplayName"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 8:01:15 PM","Logoff"
"4624","Microsoft-Windows-Security-Auditing","10/12/2024 8:01:15 PM","Logon"
"4672","Microsoft-Windows-Security-Auditing","10/12/2024 8:01:15 PM","Special Logon"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 8:01:02 PM","Logoff"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 8:00:51 PM","Logoff"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 8:00:51 PM","Logoff"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 8:00:51 PM","Logoff"
"4624","Microsoft-Windows-Security-Auditing","10/12/2024 8:00:51 PM","Logon"
"4672","Microsoft-Windows-Security-Auditing","10/12/2024 8:00:51 PM","Special Logon"
"4624","Microsoft-Windows-Security-Auditing","10/12/2024 8:00:51 PM","Logon"
"4672","Microsoft-Windows-Security-Auditing","10/12/2024 8:00:51 PM","Special Logon"
"4624","Microsoft-Windows-Security-Auditing","10/12/2024 8:00:51 PM","Logon"
"4672","Microsoft-Windows-Security-Auditing","10/12/2024 8:00:51 PM","Special Logon"
"4624","Microsoft-Windows-Security-Auditing","10/12/2024 8:00:51 PM","Logon"
"4672","Microsoft-Windows-Security-Auditing","10/12/2024 8:00:51 PM","Special Logon"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 8:00:38 PM","Logoff"
"4624","Microsoft-Windows-Security-Auditing","10/12/2024 8:00:38 PM","Logon"
"4672","Microsoft-Windows-Security-Auditing","10/12/2024 8:00:38 PM","Special Logon"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 8:00:38 PM","Logoff"
"4624","Microsoft-Windows-Security-Auditing","10/12/2024 8:00:38 PM","Logon"
"4672","Microsoft-Windows-Security-Auditing","10/12/2024 8:00:38 PM","Special Logon"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 8:00:15 PM","Logoff"
